注文明細ID,注文ID,商品ID,商品名,商品カテゴリ,ブランド,単価,数量,割引率,明細金額,出荷倉庫ID
OI0000001,O000607,P004,27インチモニター,ディスプレイ,ViewPeak,307.47,1,0.00,307.47,WH-SEOUL
OI0000002,O000096,P007,高画質ウェブカメラ,周辺機器,VisionGo,115.61,1,0.15,98.27,WH-BUSAN
OI0000003,O000652,P014,フィットネスウォッチ,ウェアラブル,PulseOn,173.86,4,0.05,660.67,WH-BUSAN
OI0000004,O000271,P010,Bluetoothスピーカー,オーディオ,SonicArc,94.45,4,0.00,377.80,WH-BUSAN
OI0000005,O000092,P010,Bluetoothスピーカー,オーディオ,SonicArc,98.43,1,0.10,88.59,WH-SEOUL
OI0000006,O000179,P002,メカニカルキーボード,周辺機器,KeyForge,83.43,3,0.00,250.29,WH-SEOUL
OI0000007,O000098,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1158.19,1,0.05,1100.28,WH-SEOUL
OI0000008,O000112,P014,フィットネスウォッチ,ウェアラブル,PulseOn,177.07,2,0.00,354.14,WH-SEOUL
OI0000009,O000104,P001,ワイヤレスマウス,周辺機器,Nexio,28.96,1,0.00,28.96,WH-INCHEON
OI0000010,O000491,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,385.79,1,0.00,385.79,WH-SEOUL
OI0000011,O000218,P002,メカニカルキーボード,周辺機器,KeyForge,96.12,1,0.00,96.12,WH-BUSAN
OI0000012,O000511,P007,高画質ウェブカメラ,周辺機器,VisionGo,113.23,2,0.00,226.46,WH-SEOUL
OI0000013,O000333,P002,メカニカルキーボード,周辺機器,KeyForge,88.49,1,0.00,88.49,WH-SEOUL
OI0000014,O000122,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1146.61,1,0.00,1146.61,WH-SEOUL
OI0000015,O000231,P004,27インチモニター,ディスプレイ,ViewPeak,306.64,1,0.05,291.31,WH-SEOUL
OI0000016,O000354,P005,ノートPCスタンド,オフィス用品,ErgoLab,48.75,1,0.00,48.75,WH-SEOUL
OI0000017,O000454,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,216.54,2,0.00,433.08,WH-SEOUL
OI0000018,O000578,P009,スマートデスクライト,オフィス用品,LumaWorks,67.88,1,0.00,67.88,WH-SEOUL
OI0000019,O000178,P012,11インチタブレット,コンピューター,NovaTech,645.96,3,0.10,1744.09,WH-SEOUL
OI0000020,O000645,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,396.21,1,0.00,396.21,WH-BUSAN
OI0000021,O000255,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,373.20,1,0.00,373.20,WH-SEOUL
OI0000022,O000520,P012,11インチタブレット,コンピューター,NovaTech,652.56,1,0.00,652.56,WH-SEOUL
OI0000023,O000704,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1250.57,1,0.00,1250.57,WH-BUSAN
OI0000024,O000547,P015,65W急速充電器,周辺機器,VoltEdge,36.58,2,0.10,65.84,WH-SEOUL
OI0000025,O000687,P004,27インチモニター,ディスプレイ,ViewPeak,287.66,1,0.00,287.66,WH-DAEJEON
OI0000026,O000309,P005,ノートPCスタンド,オフィス用品,ErgoLab,49.69,1,0.00,49.69,WH-BUSAN
OI0000027,O000194,P014,フィットネスウォッチ,ウェアラブル,PulseOn,171.48,1,0.00,171.48,WH-SEOUL
OI0000028,O000130,P009,スマートデスクライト,オフィス用品,LumaWorks,69.53,1,0.15,59.10,WH-SEOUL
OI0000029,O000269,P012,11インチタブレット,コンピューター,NovaTech,660.87,1,0.00,660.87,WH-BUSAN
OI0000030,O000118,P015,65W急速充電器,周辺機器,VoltEdge,40.22,2,0.00,80.44,WH-BUSAN
OI0000031,O000011,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,410.48,1,0.00,410.48,WH-DAEJEON
OI0000032,O000537,P002,メカニカルキーボード,周辺機器,KeyForge,83.68,1,0.10,75.31,WH-INCHEON
OI0000033,O000664,P005,ノートPCスタンド,オフィス用品,ErgoLab,48.81,3,0.00,146.43,WH-BUSAN
OI0000034,O000366,P002,メカニカルキーボード,周辺機器,KeyForge,88.06,1,0.00,88.06,WH-INCHEON
OI0000035,O000428,P008,ポータブルSSD 1TB,ストレージ,DataNest,140.49,2,0.00,280.98,WH-BUSAN
OI0000036,O000151,P001,ワイヤレスマウス,周辺機器,Nexio,31.67,2,0.00,63.34,WH-SEOUL
OI0000037,O000367,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,235.04,1,0.00,235.04,WH-SEOUL
OI0000038,O000664,P007,高画質ウェブカメラ,周辺機器,VisionGo,111.21,1,0.05,105.65,WH-SEOUL
OI0000039,O000067,P007,高画質ウェブカメラ,周辺機器,VisionGo,110.86,1,0.10,99.77,WH-SEOUL
OI0000040,O000062,P018,電子書籍リーダー,コンピューター,PageFlow,138.37,1,0.10,124.53,WH-SEOUL
OI0000041,O000607,P009,スマートデスクライト,オフィス用品,LumaWorks,75.17,3,0.00,225.51,WH-INCHEON
OI0000042,O000125,P008,ポータブルSSD 1TB,ストレージ,DataNest,137.08,2,0.00,274.16,WH-BUSAN
OI0000043,O000433,P007,高画質ウェブカメラ,周辺機器,VisionGo,101.54,2,0.05,192.93,WH-BUSAN
OI0000044,O000672,P009,スマートデスクライト,オフィス用品,LumaWorks,71.87,1,0.10,64.68,WH-BUSAN
OI0000045,O000582,P014,フィットネスウォッチ,ウェアラブル,PulseOn,180.97,2,0.05,343.84,WH-SEOUL
OI0000046,O000165,P015,65W急速充電器,周辺機器,VoltEdge,38.49,1,0.10,34.64,WH-SEOUL
OI0000047,O000142,P003,USB-Cハブ,周辺機器,Nexio,54.33,3,0.15,138.54,WH-SEOUL
OI0000048,O000432,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,244.87,1,0.00,244.87,WH-SEOUL
OI0000049,O000656,P005,ノートPCスタンド,オフィス用品,ErgoLab,50.31,1,0.05,47.79,WH-SEOUL
OI0000050,O000183,P014,フィットネスウォッチ,ウェアラブル,PulseOn,170.07,2,0.00,340.14,WH-DAEJEON
OI0000051,O000620,P001,ワイヤレスマウス,周辺機器,Nexio,32.21,1,0.10,28.99,WH-BUSAN
OI0000052,O000544,P008,ポータブルSSD 1TB,ストレージ,DataNest,129.45,1,0.00,129.45,WH-DAEJEON
OI0000053,O000470,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,224.79,1,0.00,224.79,WH-DAEJEON
OI0000054,O000429,P008,ポータブルSSD 1TB,ストレージ,DataNest,132.87,1,0.00,132.87,WH-DAEJEON
OI0000055,O000577,P017,4Kアクションカメラ,カメラ,VisionGo,336.98,2,0.00,673.96,WH-BUSAN
OI0000056,O000141,P018,電子書籍リーダー,コンピューター,PageFlow,160.02,2,0.00,320.04,WH-BUSAN
OI0000057,O000655,P004,27インチモニター,ディスプレイ,ViewPeak,296.63,1,0.00,296.63,WH-SEOUL
OI0000058,O000196,P005,ノートPCスタンド,オフィス用品,ErgoLab,46.73,1,0.00,46.73,WH-BUSAN
OI0000059,O000106,P017,4Kアクションカメラ,カメラ,VisionGo,316.95,1,0.00,316.95,WH-INCHEON
OI0000060,O000289,P005,ノートPCスタンド,オフィス用品,ErgoLab,45.16,2,0.00,90.32,WH-DAEJEON
OI0000061,O000413,P015,65W急速充電器,周辺機器,VoltEdge,37.51,1,0.15,31.88,WH-DAEJEON
OI0000062,O000402,P017,4Kアクションカメラ,カメラ,VisionGo,335.29,1,0.00,335.29,WH-DAEJEON
OI0000063,O000314,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,236.03,1,0.05,224.23,WH-BUSAN
OI0000064,O000263,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1195.25,1,0.15,1015.96,WH-DAEJEON
OI0000065,O000209,P005,ノートPCスタンド,オフィス用品,ErgoLab,48.72,1,0.00,48.72,WH-DAEJEON
OI0000066,O000135,P018,電子書籍リーダー,コンピューター,PageFlow,154.73,1,0.00,154.73,WH-SEOUL
OI0000067,O000004,P001,ワイヤレスマウス,周辺機器,Nexio,28.05,2,0.05,53.30,WH-SEOUL
OI0000068,O000153,P007,高画質ウェブカメラ,周辺機器,VisionGo,109.16,2,0.00,218.32,WH-DAEJEON
OI0000069,O000222,P009,スマートデスクライト,オフィス用品,LumaWorks,75.45,1,0.10,67.91,WH-SEOUL
OI0000070,O000175,P004,27インチモニター,ディスプレイ,ViewPeak,269.43,1,0.00,269.43,WH-DAEJEON
OI0000071,O000685,P014,フィットネスウォッチ,ウェアラブル,PulseOn,192.71,2,0.00,385.42,WH-SEOUL
OI0000072,O000505,P001,ワイヤレスマウス,周辺機器,Nexio,30.15,2,0.00,60.30,WH-BUSAN
OI0000073,O000570,P017,4Kアクションカメラ,カメラ,VisionGo,305.99,1,0.00,305.99,WH-SEOUL
OI0000074,O000556,P004,27インチモニター,ディスプレイ,ViewPeak,304.79,1,0.15,259.07,WH-DAEJEON
OI0000075,O000663,P008,ポータブルSSD 1TB,ストレージ,DataNest,140.91,2,0.00,281.82,WH-SEOUL
OI0000076,O000656,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,216.64,1,0.00,216.64,WH-BUSAN
OI0000077,O000518,P015,65W急速充電器,周辺機器,VoltEdge,36.85,1,0.10,33.16,WH-SEOUL
OI0000078,O000261,P010,Bluetoothスピーカー,オーディオ,SonicArc,92.42,1,0.15,78.56,WH-SEOUL
OI0000079,O000009,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,223.45,1,0.10,201.10,WH-DAEJEON
OI0000080,O000075,P005,ノートPCスタンド,オフィス用品,ErgoLab,44.89,1,0.05,42.65,WH-BUSAN
OI0000081,O000649,P008,ポータブルSSD 1TB,ストレージ,DataNest,144.19,1,0.00,144.19,WH-INCHEON
OI0000082,O000440,P001,ワイヤレスマウス,周辺機器,Nexio,30.39,1,0.00,30.39,WH-SEOUL
OI0000083,O000681,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,384.04,1,0.05,364.84,WH-SEOUL
OI0000084,O000406,P007,高画質ウェブカメラ,周辺機器,VisionGo,114.78,1,0.00,114.78,WH-SEOUL
OI0000085,O000345,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,227.81,1,0.00,227.81,WH-SEOUL
OI0000086,O000294,P002,メカニカルキーボード,周辺機器,KeyForge,93.81,1,0.10,84.43,WH-DAEJEON
OI0000087,O000319,P017,4Kアクションカメラ,カメラ,VisionGo,316.15,2,0.00,632.30,WH-DAEJEON
OI0000088,O000421,P004,27インチモニター,ディスプレイ,ViewPeak,277.22,2,0.00,554.44,WH-SEOUL
OI0000089,O000320,P001,ワイヤレスマウス,周辺機器,Nexio,28.77,1,0.20,23.02,WH-BUSAN
OI0000090,O000530,P002,メカニカルキーボード,周辺機器,KeyForge,82.30,1,0.05,78.18,WH-DAEJEON
OI0000091,O000155,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,413.22,3,0.00,1239.66,WH-BUSAN
OI0000092,O000368,P008,ポータブルSSD 1TB,ストレージ,DataNest,146.10,2,0.20,233.76,WH-SEOUL
OI0000093,O000166,P014,フィットネスウォッチ,ウェアラブル,PulseOn,171.62,1,0.00,171.62,WH-DAEJEON
OI0000094,O000639,P015,65W急速充電器,周辺機器,VoltEdge,38.65,1,0.00,38.65,WH-SEOUL
OI0000095,O000096,P009,スマートデスクライト,オフィス用品,LumaWorks,66.96,1,0.00,66.96,WH-INCHEON
OI0000096,O000669,P018,電子書籍リーダー,コンピューター,PageFlow,159.04,1,0.10,143.14,WH-INCHEON
OI0000097,O000090,P003,USB-Cハブ,周辺機器,Nexio,54.53,3,0.00,163.59,WH-SEOUL
OI0000098,O000220,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,232.91,1,0.00,232.91,WH-SEOUL
OI0000099,O000344,P018,電子書籍リーダー,コンピューター,PageFlow,152.51,3,0.00,457.53,WH-DAEJEON
OI0000100,O000400,P015,65W急速充電器,周辺機器,VoltEdge,40.78,1,0.10,36.70,WH-SEOUL
OI0000101,O000234,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,220.42,2,0.05,418.80,WH-SEOUL
OI0000102,O000228,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,210.64,3,0.00,631.92,WH-SEOUL
OI0000103,O000108,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,245.42,1,0.00,245.42,WH-BUSAN
OI0000104,O000715,P005,ノートPCスタンド,オフィス用品,ErgoLab,47.87,1,0.00,47.87,WH-SEOUL
OI0000105,O000516,P012,11インチタブレット,コンピューター,NovaTech,634.53,1,0.00,634.53,WH-BUSAN
OI0000106,O000700,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,227.93,2,0.10,410.27,WH-SEOUL
OI0000107,O000402,P017,4Kアクションカメラ,カメラ,VisionGo,314.51,1,0.00,314.51,WH-BUSAN
OI0000108,O000171,P002,メカニカルキーボード,周辺機器,KeyForge,83.46,2,0.00,166.92,WH-BUSAN
OI0000109,O000153,P001,ワイヤレスマウス,周辺機器,Nexio,29.68,1,0.00,29.68,WH-SEOUL
OI0000110,O000199,P015,65W急速充電器,周辺機器,VoltEdge,39.72,1,0.05,37.73,WH-BUSAN
OI0000111,O000529,P001,ワイヤレスマウス,周辺機器,Nexio,29.92,2,0.05,56.85,WH-SEOUL
OI0000112,O000334,P002,メカニカルキーボード,周辺機器,KeyForge,88.53,1,0.00,88.53,WH-BUSAN
OI0000113,O000446,P012,11インチタブレット,コンピューター,NovaTech,685.87,2,0.00,1371.74,WH-SEOUL
OI0000114,O000049,P012,11インチタブレット,コンピューター,NovaTech,617.79,2,0.10,1112.02,WH-SEOUL
OI0000115,O000146,P018,電子書籍リーダー,コンピューター,PageFlow,159.37,2,0.00,318.74,WH-BUSAN
OI0000116,O000251,P010,Bluetoothスピーカー,オーディオ,SonicArc,93.14,1,0.00,93.14,WH-INCHEON
OI0000117,O000491,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,223.57,4,0.00,894.28,WH-BUSAN
OI0000118,O000566,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1231.47,1,0.00,1231.47,WH-BUSAN
OI0000119,O000173,P004,27インチモニター,ディスプレイ,ViewPeak,287.39,1,0.10,258.65,WH-BUSAN
OI0000120,O000348,P007,高画質ウェブカメラ,周辺機器,VisionGo,101.19,1,0.00,101.19,WH-INCHEON
OI0000121,O000050,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,235.28,1,0.00,235.28,WH-SEOUL
OI0000122,O000418,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,424.08,1,0.10,381.67,WH-BUSAN
OI0000123,O000215,P003,USB-Cハブ,周辺機器,Nexio,50.95,1,0.05,48.40,WH-SEOUL
